property_url,mls,mls_id,status,style,street,unit,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,list_price,list_date,sold_price,last_sold_date,lot_sqft,price_per_sqft,latitude,longitude,stories,hoa_fee,parking_garage
https://www.realtor.com/realestateandhomes-detail/9459554761,PROR,458892880,FOR_SALE,SINGLE_FAMILY,463 35th St,,Springfield,OR,97478,3,2,,1410,2023,424900,2025-04-02,415000,2024-05-13,6098,301,44.049467,-122.975709,1,0,2
https://www.realtor.com/realestateandhomes-detail/2951046134,PROR,293260929,FOR_SALE,SINGLE_FAMILY,6199 Jade Ave,,Springfield,OR,97478,3,3,1,3185,2007,1025000,2025-04-02,895000,2022-08-18,11761,322,44.039094,-122.920569,2,40,3
https://www.realtor.com/realestateandhomes-detail/2995318074,PROR,301138161,FOR_SALE,SINGLE_FAMILY,4661 Bluebelle Way,,Springfield,OR,97478,3,1,,1138,1963,385000,2025-04-02,266000,2020-05-20,7405,338,44.042989,-122.953459,1,0,2
https://www.realtor.com/realestateandhomes-detail/9350283409,PROR,24423586,FOR_SALE,LAND,None None None,,Springfield,OR,97478,,,,,,130000,2025-04-01,,,6969,,,,,0,
https://www.realtor.com/realestateandhomes-detail/1410248476,PROR,455778956,FOR_SALE,SINGLE_FAMILY,6508 E St,,Springfield,OR,97478,3,2,,1433,1972,465000,2025-04-01,,,7405,324,44.050888,-122.913529,1,0,2
https://www.realtor.com/realestateandhomes-detail/2525767198,PROR,133057123,FOR_SALE,MOBILE,5335 Daisy St,,Springfield,OR,97478,3,2,,1477,1977,115000,2025-04-01,,,,78,44.040643,-122.93665,1,0,
https://www.realtor.com/realestateandhomes-detail/9915515971,HH1B,WOORI03-000-0133,FOR_SALE,SINGLE_FAMILY,5089 Cedar View Dr,,Springfield,OR,97478,3,2,1,2026,,534990,2025-04-01,390324,2025-03-19,,264,44.037456,-122.942144,2,,2
https://www.realtor.com/realestateandhomes-detail/9648425201,PROR,109952329,FOR_SALE,SINGLE_FAMILY,5124 Cedar View Dr,,Springfield,OR,97478,5,3,,2211,2025,499990,2025-03-31,,,,226,44.036745,-122.941834,2,32,2
https://www.realtor.com/realestateandhomes-detail/9053373724,PROR,791162588,FOR_SALE,MOBILE,5335 Daisy St,Spc 130,Springfield,OR,97478,3,1,,672,1971,60000,2025-03-31,,,3280,89,44.041382,-122.936836,1,0,
https://www.realtor.com/realestateandhomes-detail/9281258372,PROR,460025500,FOR_SALE,SINGLE_FAMILY,91375 Marcola Rd,,Springfield,OR,97478,3,2,1,2804,2007,1950000,2025-03-31,,,1737173,695,44.146973,-122.910469,1,0,2
https://www.realtor.com/realestateandhomes-detail/9843063940,HH1B,WOORI04-000-0186,FOR_SALE,SINGLE_FAMILY,5153 Cedar View Dr,,Springfield,OR,97478,3,2,,1148,,421990,2025-03-30,,,,368,44.039328,-122.941963,1,,2
https://www.realtor.com/realestateandhomes-detail/1351789127,PROR,635365372,FOR_SALE,MOBILE,3597 A St,,Springfield,OR,97478,3,2,,1296,1985,337000,2025-03-29,101500,2006-03-06,5662,260,44.044926,-122.975049,2,0,
https://www.realtor.com/realestateandhomes-detail/1857253456,PROR,350177667,FOR_SALE,SINGLE_FAMILY,6715 Ivy St,,Springfield,OR,97478,3,2,,2400,1994,749999,2025-03-29,380000,2016-10-18,19166,312,44.037191,-122.908758,3,0,2
https://www.realtor.com/realestateandhomes-detail/9605084334,HH1B,WOORI04-000-0188,FOR_SALE,SINGLE_FAMILY,5125 Cedar View Dr,,Springfield,OR,97478,3,2,,1408,,439990,2025-03-29,,,,312,44.039328,-122.941963,1,,2
https://www.realtor.com/realestateandhomes-detail/9782655131,HH1B,WOORI03-000-0149,FOR_SALE,SINGLE_FAMILY,5101 Holly St,,Springfield,OR,97478,3,2,,1148,,409990,2025-03-29,,,,357,44.036771,-122.941858,1,,2
